# List of words that jwordsplitter would otherwise split incorrectly.
# Use the pipe symbol (|) to mark the correct place to split the word.
# Add /NS to add 'n' and 's' as suffixes
Verkehrs|achsen
Himmels|achsen
Rettungs|orten
anti|kulturelle
anti|kulturellen
zwischen|kulturelle
zwischen|kulturellen
anti|hormonelle
anti|hormonellen
Bäckerei|leiter
Bäckerei|leiters
Bäckerei|leitern
Klo|putzerinnen
Mobil|funkerinnen
asyl|suchende
asyl|suchenden
asyl|suchendes
auseinander|rücktest
Kammer|baues
Wellen|reiter|bretter
Wellen|reiter|brettern
Abstimmungs|ende/NS
Achs|ende/NS
Absatz|ende/NS
Ärmel|ende/NS
Band|ende/NS
Segel|ende/NS
Schwanz|ende/NS
Spulen|ende/NS
Text|ende/NS
Textblock|ende/NS
Tabellen|ende/NS
Tages|ende/NS
Wahl|ende/NS
Wahlkampf|ende/NS
Frühjahrs|ende/NS
Tages|ende/NS
Therapie|ende/NS
Herbst|ende/NS
Winter|ende/NS
Sommer|ende/NS
Wort|ende/NS
Wochen|ende/NS
Zylinder|ende/NS
Anschluss|ende/NS
Balken|ende/NS
Beziehungs|ende/NS
Bildschirm|ende/NS
Januar|ende/NS
Februar|ende/NS
März|ende/NS
April|ende/NS
Mai|ende/NS
Juni|ende/NS
Juli|ende/NS
August|ende/NS
September|ende/NS
November|ende/NS
Dezember|ende/NS
Draht|ende/NS
Fahrt|ende/NS
Fahrzeug|ende/NS
Formular|ende/NS
Griff|ende/NS
Leiter|ende/NS
Nerven|ende/NS
Reise|ende/NS
Schul|jahres|ende/NS
Sport|short
Sport|shorts
Schwimmer|becken
Schwimmer|beckens
Pyjama|shorts
Khaki|shorts
Schwimm|shorts
Bermuda|shorts
Lauf|shorts
Retro|shorts
Maler|arbeiten
Rückzugs|orte
Rückzugs|orten
Raum|thermostat
Raum|thermostate
Raum|thermostaten
Raum|thermostats
Raum|thermostates
# Words without a pipe symbol will not be split.
Akteurin
Akteurinnen
Thermostat
Thermostate
Thermostaten
Thermostats
Thermostates
Bahnsteig
Bahnsteige
Bahnsteigen
Maulwurf
Maulwurfes
Maulwurfs
geniessenden
geniessender
Fallstrick
Fallstrickes
Fallstricks
Fallstricke
Fallstricken
betriebsamen
gewaltsamen
grausamen
arbeitsamen
achtsamen
vergleichsweise
bildenden
konventionelles
Elfenbeines
waagerecht
waagerechtes
Scharnieres
Irredentists
Kohldampfes
versengen
Versengens
versessen
Moderationen
Zivilists
Schreibauer
Schreibauers
ortende/NS
ortender
ortstreu
ortstreuen
ortstreuer
ortstreues
scheinbar
schwangen
saubergemacht
saubersten
sausende/NS
sausender
skandalöse
skandalösen
skandalöses
protuberanzen
albanische/NS
afrikanische/NS
glühende/NS
rufende/NS
ruinöse/NS
orthochromatisch
orthochromatische
orthochromatischer
orthochromatischen
orthochromatisches
postiere
postieren
unterfangene/NS
verbohrende/NS
verbohrtest
verbohrtester
vereinbarende/NS
gerichtshof
verstauende/NS
viermaligen
waldarm
waldarme
waldarmes
weglaufe
weglaufende/NS
weglocke/NS
schreibende/NS
wegsehe
wiedersehe
zartesten
zartester
zugegen
zugehe
zugreifbar
zugreife
zugreifende/NS
nervöse/NS
fotogen
kottisch
ireton
naselang
personelle/NS
rationelle/NS
strukturelle/NS
subkulturelle/NS
universelle/NS
verstricken
verstrickens
einschlagend
einschlagende/NS
medikamentöse/NS
zentralnervöse/NS
zugeselle
zugesellen
dementiell
dementielle/NS
emotionelle/NS
experimentelle/NS
exzeptionelle/NS
formelle/NS
frantionelle/NS
funktionelle/NS
hormonelle/NS
infrastrukturelle/NS
inkrementelle/NS
institutionelle/NS
instrumentelle/NS
konditionelle/NS
konfessionelle/NS
konjunkturelle/NS
konstitutionelle/NS
konventionelle/NS
konzeptionelle/NS
kulturelle/NS
operationelle/NS
oppositionellen
positionelle
positionelle/NS
traditionelle/NS
sensationelle/NS
multikulturelle
multikulturellen
antibiotisch/NS
antibiotischen
denkbar
missbilligende/NS
missbilligtest
rollierst
Hellersdorfer
Hellersdorferinnen
Sennerinnen
zweifache/NS
dreifache/NS
vierfache/NS
fünffache/NS
sechsfache/NS
siebenfache/NS
achtfache/NS
neunfache/NS
zehnfache/NS
elffache/NS
zwölffache/NS
vielfache/NS
united
zauberhaft
abziehbar
adriatisch
bedientest
beipacktest
bezahltest
endemischer
zurechtbasteltest
polemisch
polemischer
polemischen
piepsende
verbleicht
verbrennbar
schwertat
schwertaten
adriatische/NS
antibiotische/NS
allgemeine/NS
redaktionelle/NS
Maskerade
